fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
274412,129416,Main,934,,,voie,,Bunchberry,Way,,934 Bunchberry Way,934 voie Bunchberry,Bunchberry Way,voie Bunchberry,voie Bunchberry Way,English,K1T0L6,GLOUCESTER,Gloucester,22.0,__8DB77I,__7JL7PR,RN005630,373864.4794,5019671.2057,2012/11/14,2014/08/07,{6C730EB5-DDE1-4206-ABC4-5623C8998A6D},,6.1460007015874e+18,R3VV[1318],R3,06146000701587400000,True
274414,322436,Main,4017,,,prom,,Kelly Farm,Dr,,4017 Kelly Farm Dr,4017 prom Kelly Farm,Kelly Farm Dr,prom Kelly Farm,prom. Kelly Farm Dr.,English,K1T0R6,GLOUCESTER,Gloucester,22.0,__64YZCF,__5UW4C2,RN004657,374669.891,5020382.219,,2017/07/28,{CF307AE1-4C94-427C-B8D2-9FF3947B35DE},,6.1460007017107e+18,R3VV[1318],R3,06146000701710700000,True
274415,430687,Main,3265,,,ch,,Blais,Rd,,3265 Blais Rd,3265 ch Blais,Blais Rd,ch Blais,ch. Blais Rd.,English,K1T0T7,GLOUCESTER,Gloucester,22.0,__5UWX0G,___2SUAZ,RN005572,376782.118,5020439.824,2012/11/14,2024/03/24,{C1613283-9864-4A1E-BBC2-EC19D93D8374},,6.1460007522905e+18,O1,O1,06146000752290500000,True
274417,296774,Main,4530,,,prom,,Kelly Farm,Dr,,4530 Kelly Farm Dr,4530 prom Kelly Farm,Kelly Farm Dr,prom Kelly Farm,prom. Kelly Farm Dr.,English,K1X0E7,GLOUCESTER,Gloucester,22.0,__ATPXGT,__5UW4C2,RN004657,375816.382,5019095.3154,,2020/07/27,{C0423C5B-3DD5-4A35-BB06-A12F1EADF364},,6.1460007012201e+18,R3Z,R3,06146000701220100000,True
274418,445334,Main,307,,,plct,,Solidago,Mews,,307 Solidago Mews,307 plct Solidago,Solidago Mews,plct Solidago,plct. Solidago Mews,English,K1T0Y8,GLOUCESTER,Gloucester,22.0,e_2KGB36,__0GJI6Z,RN011301,375176.5304,5021276.9452,2022/07/27,2024/03/24,{680DD315-017F-4500-BBE0-AA227E540D7E},,6.1460007005097e+18,R3Z,R3,06146000700509700000,True
274420,144317,Main,278,,,av,,Longworth,Ave,,278 Longworth Ave,278 av Longworth,Longworth Ave,av Longworth,av. Longworth Ave.,English,K1T0T8,GLOUCESTER,Gloucester,22.0,__A7BY4T,__3D76JV,RN008618,376553.181,5020639.08,,2020/07/27,{8DCDF893-728B-4607-865C-62050B0A7B4C},,6.1460007525095e+18,R4Z,R4,06146000752509500000,True
274426,87253,Main,736,,,rue,,Fiddlehead,St,,736 Fiddlehead St,736 rue Fiddlehead,Fiddlehead St,rue Fiddlehead,rue Fiddlehead St.,English,K1T0L3,GLOUCESTER,Gloucester,22.0,__81JFNT,__3AIK0Z,RN008670,375737.115,5021063.663,2012/11/14,2014/08/22,{27332BA3-A4B1-4B2C-9361-E3F20F00B37B},,6.1460007518894e+18,R3Z,R3,06146000751889400000,True
274429,137620,Main,693,,,voie,,Sora,Way,,693 Sora Way,693 voie Sora,Sora Way,voie Sora,voie Sora Way,English,K1T0R3,GLOUCESTER,Gloucester,22.0,__0GH2XF,__7JL7KY,RN001050,375946.1062,5019808.2865,,2020/07/27,{A25051B3-5B23-4CF7-AFD3-E5EE273F25D1},,6.1460007002176e+18,R3VV[1318],R3,06146000700217600000,True
274431,162506,Main,2790,,,ch,,Fenton,Rd,,2790 Fenton Rd,2790 ch Fenton,Fenton Rd,ch Fenton,ch. Fenton Rd.,English,K1T3T7,GLOUCESTER,Gloucester,22.0,__3W1RM5,___2SSRG,RN005850,373852.934,5020581.717,2012/11/14,,{29EE97FC-8089-4726-810C-9DDD70EB9972},,6.1460007000117e+18,IL2 H(14),IL,06146000700011700000,True
274433,279708,Main,36,,,crois,,Sagebrush,Cres,,36 Sagebrush Cres,36 crois Sagebrush,Sagebrush Cres,crois Sagebrush,crois. Sagebrush Cres.,English,K1T0P9,GLOUCESTER,Gloucester,22.0,__0GH2SQ,__96GCTV,RN012687,375737.5389,5019859.4754,,2020/07/27,{81F83013-562E-41D9-8AD0-771DD4E7CE91},,6.1460007002119e+18,R3VV[1318],R3,06146000700211900000,True
274434,177832,Main,251,,,voie,,Hawkmere,Way,,251 Hawkmere Way,251 voie Hawkmere,Hawkmere Way,voie Hawkmere,voie Hawkmere Way,English,K1T0R3,GLOUCESTER,Gloucester,22.0,__0GH2F1,__7JL8QG,RN000193,376016.6614,5019799.8674,,2020/07/27,{0A7E4755-7C58-4A92-BB40-F02204024682},,6.1460007002272e+18,R3VV[1318],R3,06146000700227200000,True
274435,275223,Main,536,,,voie,,Golden Sedge,Way,,536 Golden Sedge Way,536 voie Golden Sedge,Golden Sedge Way,voie Golden Sedge,voie Golden Sedge Way,English,K1T0G5,GLOUCESTER,Gloucester,22.0,__67LTJM,__67LK1C,RN006308,374801.485,5019963.306,2012/11/14,,{7BDBE62F-59B6-4C33-925D-F4FDAEB84164},,6.1460007008659e+18,R3VV[1318],R3,06146000700865900000,True
274439,426755,Main,824,,,voie,,Loosestrife,Way,,824 Loosestrife Way,824 voie Loosestrife,Loosestrife Way,voie Loosestrife,voie Loosestrife Way,English,K1T0L8,GLOUCESTER,Gloucester,22.0,__9O21V6,__8U5M70,RN012375,376137.1925,5021301.0478,2013/04/29,2024/03/24,{D177E190-2DB1-4964-8140-C32AA8F8DB0C},,6.1460007522089e+18,R3Z,R3,06146000752208900000,True
274440,446263,Main,749,,,bois,,Ovation,Grove,,749 Ovation Grove,749 bois Ovation,Ovation Grove,bois Ovation,bois Ovation Grove,English,K1T0X6,GLOUCESTER,Gloucester,22.0,__BANZ4B,__A8V0IN,RN003092,376121.9148,5020926.6041,2020/02/18,2024/03/24,{54E7AF86-ED9F-411E-9822-F34639153DB3},,6.1460007525815e+18,R4Z,R4,06146000752581500000,True
