fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
327914,465183,Subordinate,2761,119,,ch,,8th Line,Rd,,2761 119 8th Line Rd,2761 119 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BR,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{FB9E1E12-C618-4F57-AB1A-97F888BBC121},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327915,465190,Subordinate,2761,124,,ch,,8th Line,Rd,,2761 124 8th Line Rd,2761 124 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BH,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{FDE89095-69ED-4D5D-9E0B-E2F9B9036F7E},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327916,464957,Subordinate,2761,226,,ch,,8th Line,Rd,,2761 226 8th Line Rd,2761 226 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1DN,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{C4CCC248-CC3B-46F7-93E7-62AAD4D11273},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327917,464949,Subordinate,2761,117,,ch,,8th Line,Rd,,2761 117 8th Line Rd,2761 117 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1C6,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{C29360E1-271F-460E-A971-7854D2E12B18},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327918,464807,Subordinate,2761,208,,ch,,8th Line,Rd,,2761 208 8th Line Rd,2761 208 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CR,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{A2C5D584-7362-4C11-8603-25009A6DB838},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327919,464785,Subordinate,2761,205,,ch,,8th Line,Rd,,2761 205 8th Line Rd,2761 205 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CX,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{9D5DEAEA-10D5-4392-8F56-FE6626AFB8B8},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327920,464718,Subordinate,2761,209,,ch,,8th Line,Rd,,2761 209 8th Line Rd,2761 209 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CP,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{8A6D7250-CF50-40C1-BBB0-F4B7689A8305},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327921,464651,Subordinate,2761,221,,ch,,8th Line,Rd,,2761 221 8th Line Rd,2761 221 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CJ,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{7A71D866-1D67-4BED-BF27-E92A6122DA97},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327922,464644,Subordinate,2761,105,,ch,,8th Line,Rd,,2761 105 8th Line Rd,2761 105 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1DL,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{7888788F-2C2E-424E-A9DD-7CC36A987ADA},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327923,464608,Subordinate,2761,120,,ch,,8th Line,Rd,,2761 120 8th Line Rd,2761 120 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BP,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{71218FC0-84FC-4DC2-99E7-B688B69CECBA},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327924,464598,Subordinate,2761,217,,ch,,8th Line,Rd,,2761 217 8th Line Rd,2761 217 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BZ,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{6EA609D1-ACC2-4FE8-9127-360123371F57},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327925,464569,Subordinate,2761,104,,ch,,8th Line,Rd,,2761 104 8th Line Rd,2761 104 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1DR,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{66CFD751-A25B-4965-9256-26FE160765B8},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327926,464521,Subordinate,2761,111,,ch,,8th Line,Rd,,2761 111 8th Line Rd,2761 111 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CF,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{5A3C0AFA-A1F4-4DAF-BCD2-9AB634C7F2CB},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327927,464403,Subordinate,2761,110,,ch,,8th Line,Rd,,2761 110 8th Line Rd,2761 110 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1DH,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{3713F493-46F2-4B99-A687-BEDF502AABFE},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327928,464363,Subordinate,2761,216,,ch,,8th Line,Rd,,2761 216 8th Line Rd,2761 216 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1B2,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{2B9ADC6A-D69D-4192-BFAA-BB771F707167},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327929,464353,Subordinate,2761,227,,ch,,8th Line,Rd,,2761 227 8th Line Rd,2761 227 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1DV,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{29908AC7-76F9-4BB0-81FC-D51E8EC2DA20},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327930,464339,Subordinate,2761,116,,ch,,8th Line,Rd,,2761 116 8th Line Rd,2761 116 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1C8,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{23C124FE-5557-4455-98A5-AC9F48689219},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327931,464324,Subordinate,2761,207,,ch,,8th Line,Rd,,2761 207 8th Line Rd,2761 207 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CT,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{20014506-D32E-40B3-9EFF-2D9B4109D4AB},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327932,464322,Subordinate,2761,108,,ch,,8th Line,Rd,,2761 108 8th Line Rd,2761 108 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1A0,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{1F9E994D-6FC7-4113-A1CB-DFB1A2ACA44C},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327933,464295,Subordinate,2761,211,,ch,,8th Line,Rd,,2761 211 8th Line Rd,2761 211 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1B0,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{180C203F-B900-45C6-AF88-A8B9823B4E03},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327934,464294,Subordinate,2761,203,,ch,,8th Line,Rd,,2761 203 8th Line Rd,2761 203 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1C2,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{17D5D356-60F2-40D9-851C-16DC18E02D25},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327935,464276,Subordinate,2761,218,,ch,,8th Line,Rd,,2761 218 8th Line Rd,2761 218 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1BX,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{1314C35F-00CF-4B8D-821B-E21B6321CB4C},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
327936,464242,Subordinate,2761,220,,ch,,8th Line,Rd,,2761 220 8th Line Rd,2761 220 ch 8th Line,8th Line Rd,ch 8th Line,ch. 8th Line Rd.,English,K0A2P0,METCALFE,Osgoode,20,__4QA1CL,___2SVDB,RN012551,385720.682,5010652.265,2012/11/14,2019/10/17,{0AD3BE6E-6B77-45A4-AF25-5275FD60D5E3},__4QA168,6.1470006512405e+18,VM,VM,06147000651240500000,True
