fid,OBJECTID,ADDRTYPE,ADDRNUM,UNIT,QUALIFIER,SUFFIX_FR,ARTICLE_FR,ROAD_NAME,SUFFIX_EN,DIRECTION,FULL_ADDRE,FULL_ADD_1,FULL_ROADN,FULL_ROA_1,ROAD_SIGN_,LANGUAGE_O,POSTAL_COD,CP_MUNICIP,MUNICIPALI,WARD,MUNICIPAL_,ROAD_NAME_,OT_ROAD_NA,POINT_X,POINT_Y,CREATED_DA,MODIFIED_D,GLOBALID,RELATED_AD,old_PARCEL_ASSESSMENT_ROLL_NUMBER,ZONE_CODE,ZONE_MAIN,PARCEL_ASSESSMENT_ROLL_NUMBER,match
319124,310514,Main,191,,,cer,,Equitation,Cir,,191 Equitation Cir,191 cer Equitation,Equitation Cir,cer Equitation,cer. Equitation Cir.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__AUK6OG,__0GPLNH,RN002474,355875.0098,5005359.9623,,2020/07/27,{762AF66C-04DE-400F-B95B-436DC35CF48C},,6.1427381536246e+18,V3B[780r],V3,06142738153624600000,True
319134,278699,Main,136,,,rue,,Christopher Hamilton,St,,136 Christopher Hamilton St,136 rue Christopher Hamilton,Christopher Hamilton St,rue Christopher Hamilton,rue Christopher Hamilton St.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__ADQS4O,__APWP6X,RN012104,356407.2421,5005644.5235,2019/03/17,2020/07/27,{1B5CBF97-741E-406C-96EB-825542644B75},,6.1427381529128e+18,V1C,V1,06142738152912800000,True
319140,79067,Main,544,,,av,,Oldenburg,Ave,,544 Oldenburg Ave,544 av Oldenburg,Oldenburg Ave,av Oldenburg,av. Oldenburg Ave.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__BQNGX0,__0GPLPC,RN004895,355793.6097,5005672.1138,2020/01/10,2020/07/27,{80F4688B-25FE-4E80-A1DF-52303E82AC03},,6.1427381537286e+18,V3B[780r],V3,06142738153728600000,True
319142,435129,Main,428,,,ch,,Meynell,Rd,,428 Meynell Rd,428 ch Meynell,Meynell Rd,ch Meynell,ch. Meynell Rd.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CI7A7C,__0GPLQ9,RN005637,356789.3077,5004592.0077,2021/12/10,2024/03/24,{2D7600BD-6112-4467-9F39-25935A3F0FEE},,6.1427381536805e+18,V2E[902r],V2,06142738153680500000,True
319144,425598,Main,25,,,crois,,Underhill,Cres,,25 Underhill Cres,25 crois Underhill,Underhill Cres,crois Underhill,crois. Underhill Cres.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__32FEPN,___2SRDM,RN001005,357777.145,5004392.298,2012/11/14,2024/03/24,{AB8EDB61-8F31-461B-935A-C967FCC7B116},,6.1427381535528e+18,V1B,V1,06142738153552800000,True
319153,453664,Main,6247,,,rue,,Perth,St,,6247 Perth St,6247 rue Perth,Perth St,rue Perth,rue Perth St.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__32SUAZ,___2SRE2,RN010752,356283.172,5005892.029,2012/11/14,2024/03/24,{B8973CFE-1114-4434-AA9C-EECB2D246CDA},,6.14273815018e+18,V1C,V1,06142738150180000000,True
319155,164116,Main,135,,,cer,,Talos,Cir,,135 Talos Cir,135 cer Talos,Talos Cir,cer Talos,cer. Talos Cir.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__9UNMA2,__82VAKF,RN002562,356164.6254,5006457.8592,2013/10/04,2013/10/04,{0CC635B1-A53A-4F35-9267-005F3157757D},,6.1427381513629e+18,V1C,V1,06142738151362900000,True
319162,58950,Main,641,,,cer,,Terrier,Cir,,641 Terrier Cir,641 cer Terrier,Terrier Cir,cer Terrier,cer. Terrier Cir.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__BQNGPG,__BI9ZMT,RN002306,355980.0976,5005105.2416,2020/01/15,2020/07/27,{896C4C29-0B75-4C00-8B20-82A480AE1978},,6.1427381536543e+18,V2E[779r],V2,06142738153654300000,True
319190,430432,Main,6284,,,rue,,Ottawa,St,O./W.,6284 Ottawa St W.,6284 rue Ottawa O.,Ottawa St W.,rue Ottawa O.,rue Ottawa St. O./W.,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__AVSLLF,__AUSHJQ,RN010038,357089.3725,5004685.651,2018/01/10,2024/03/24,{84815EFB-05AF-4169-A071-1354DE3B2ABC},,6.14273815361e+18,V1C,V1,06142738153610000000,True
319191,434554,Main,681,,,rang,,Quilter,Row,,681 Quilter Row,681 rang Quilter,Quilter Row,rang Quilter,rang Quilter Row,English,K0A2Z0,RICHMOND,Goulbourn,21.0,__CI7BFA,__BF6F3X,RN002390,356651.1207,5004417.3035,2021/12/13,2024/03/24,{9AB95848-1CAA-48D7-9357-5B56F6FA990C},,6.1427381537225e+18,V3B[903r],V3,06142738153722500000,True
